Rank,Country,GNI per capita (US$)[1],Year,Income Category
117,Algeria,"3,970",2019,Middle
118,Moldova,"3,930",2019,Middle
119,Philippines,"3,851",2019,Middle
120,Mongolia,"3,780",2019,Middle
121,Palestine,"3,710",2018,Middle
122,Cape Verde,"3,630",2019,Middle
123,Eswatini,"3,590",2019,Middle
124,Djibouti,"3,540",2019,Middle
125,Bolivia,"3,530",2019,Middle
126,Micronesia,"3,400",2018,Middle
127,Ukraine,"3,370",2019,Middle
128,Tunisia,"3,360",2019,Middle
129,Kiribati,"3,350",2019,Middle
130,Morocco,"3,190",2019,Middle
131,Vanuatu,"3,170",2019,Middle
132,Angola,"3,050",2019,Middle
133,Bhutan,"2,970",2018,Middle
134,Papua New Guinea,"2,780",2019,Middle
135,Egypt,"2,690",2019,Middle
136,Laos,"2,570",2019,Middle
137,Vietnam,"2,540",2019,Middle
138,Honduras,"2,390",2019,Middle
139,Ivory Coast,"2,290",2019,Middle
140,Ghana,"2,220",2019,Middle
141,India,"2,130",2019,Middle
142,Solomon Islands,"2,050",2019,Middle
143,Nigeria,"2,030",2019,Middle
144,São Tomé and Príncipe,"1,960",2019,Middle
145,Bangladesh,"1,940",2019,Middle
146,Nicaragua,"1,910",2019,Middle
147,East Timor,"1,890",2019,Middle
148,Uzbekistan,"1,800",2019,Middle
149,Kenya,,2019,Middle
150,Congo,"1,750",2019,Middle
151,Mauritania,"1,660",2019,Middle
152,Pakistan,"1,530",2019,Middle
153,Cameroon,"1,500",2019,Middle
154,Cambodia,"1,480",2019,Middle
155,Zambia,"1,450",2019,Middle
156,Senegal,"1,450",2019,Middle
157,Comoros,"1,420",2019,Middle
158,Zimbabwe,"1,390",2019,Middle
159,Lesotho,"1,360",2019,Middle
161,Benin,"1,250",2019,Middle
162,Kyrgyzstan,"1,240",2019,Middle
163,Nepal,"1,090",2019,Middle
164,Tanzania,"1,080",2019,Middle
165,Syria,"1,823",2007,Low
166,South Sudan,"1,090",2020,Low
167,Tajikistan,"1,030",2019,Low
168,Guinea,950,2019,Low
169,Yemen,940,2018,Low
170,Mali,880,2019,Low
171,Ethiopia,850,2019,Low
172,Rwanda,820,2019,Low
173,Guinea-Bissau,820,2019,Low
174,Haiti,790,2019,Low
175,Burkina Faso,790,2019,Low
176,Uganda,780,2019,Low
177,Gambia,740,2019,Low
178,Chad,700,2019,Low
179,Togo,690,2019,Low
180,Eritrea,600,2011,Low
181,Sudan,590,2019,Low
182,Liberia,580,2019,Low
183,Niger,560,2019,Low
184,Afghanistan,540,2019,Low
185,Madagascar,520,2019,Low
186,Republic of the Congo,520,2019,Low
187,Central African Republic,520,2019,Low
188,Sierra Leone,500,2019,Low
189,Mozambique,480,2019,Low
190,Malawi,380,2019,Low
191,Burundi,280,2019,Low
192,Somalia,130,1990,Low
